aid,sid
1347365,376241667
1347365,376241680
1347365,376241681
1347365,376241716
1347365,376241731
1347365,376241764
1347365,376241780
1347365,376241782
1347365,376241800
1347365,376241613
1347365,376241614
1347365,376241615
1347365,376241616
1347366,376241633
1347366,376241666
1347366,376241667
1347366,376241680
1347366,376241681
1347366,376241716
1347366,376241731
1347366,376241764
1347366,376241780
1347366,376241782
1347366,376241800
1347366,376241814
1347366,376241831
1347366,376241833
1347366,376241552
1347366,376241554
1347366,376241559
1347366,376241584
1347366,376241611
1347366,376241629
1347366,376241634
1347366,376241652
1347366,376241668
1347366,376241704
1347366,376241727
1347366,376241736
1347366,376241754
1347366,376241770
1347366,376241843
1347366,376241868
1347352,376241594
1347352,376241596
1347352,376241601
1347352,376241626
1347352,376241635
1347352,376241712
1347352,376241728
1347352,376241735
1347352,376241751
1347352,376241785
1347352,376241794
1347352,376241819
1347352,376241828
1347352,376241844
1347352,376241851
1347352,376241871
1347352,376241558
1347352,376241573
1347352,376241575
1347352,376241588
1347352,376241591
1347352,376241623
1347352,376241625
1347352,376241639
1347352,376241640
1347352,376241641
1347352,376241655
1347352,376241658
1347352,376241672
1347352,376241692
1347360,376241852
1347360,376241861
1347360,376241870
1347360,376241541
1347360,376241574
1347360,376241606
1347360,376241608
1347360,376241656
1347360,376241673
1347360,376241688
1347360,376241689
1347360,376241708
1347360,376241724
1347360,376241772
1347360,376241775
1347360,376241792
1347360,376241809
1347360,376241839
1347360,376241840
1347360,376241857
1347360,376241872
1347360,376241565
1347360,376241583
1347360,376241598
1347360,376241663
1347360,376241664
1347360,376241730
1347360,376241733
1347360,376241766
1347354,376241583
1347354,376241598
1347354,376241663
1347354,376241664
1347354,376241730
1347354,376241733
1347354,376241552
1347354,376241554
1347354,376241559
1347354,376241584
1347354,376241611
1347354,376241629
1347354,376241634
1347354,376241652
1347354,376241668
1347354,376241704
1347354,376241727
1347354,376241736
1347354,376241754
1347354,376241770
1347354,376241843
1347354,376241539
1347354,376241605
1347354,376241622
1347354,376241624
1347354,376241675
1347354,376241722
1347354,376241756
1347364,376241685
1347364,376241762
1347364,376241778
1347364,376241878
1347364,376241568
1347364,376241577
1347364,376241593
1347364,376241595
1347364,376241659
1347364,376241670
1347364,376241679
1347364,376241686
1347364,376241729
1347364,376241738
1347364,376241743
1347364,376241779
1347364,376241788
1347364,376241813
1347364,376241820
1347364,376241829
1347364,376241845
1347364,376241854
1347364,376241863
1347364,376241543
1347364,376241545
1347364,376241570
1347364,376241579
1347364,376241586
1347364,376241645
1347348,376241700
1347348,376241715
1347348,376241749
1347348,376241847
1347348,376241864
1347348,376241558
1347348,376241573
1347348,376241575
1347348,376241588
1347348,376241591
1347348,376241623
1347348,376241625
1347348,376241639
1347348,376241640
1347348,376241641
1347348,376241655
1347348,376241658
1347348,376241672
1347348,376241692
1347348,376241706
1347348,376241707
1347348,376241725
1347348,376241755
1347348,376241757
1347348,376241759
1347348,376241773
1347348,376241774
1347348,376241790
1347348,376241805
1347348,376241806
1347351,376241641
1347351,376241655
1347351,376241658
1347351,376241672
1347351,376241692
1347351,376241706
1347351,376241707
1347351,376241725
1347351,376241755
1347351,376241757
1347351,376241759
1347351,376241773
1347351,376241774
1347351,376241790
1347351,376241805
1347351,376241806
1347351,376241807
1347351,376241841
1347351,376241543
1347351,376241545
1347351,376241570
1347351,376241579
1347351,376241586
1347351,376241645
1347351,376241654
1347351,376241684
1347351,376241693
1347351,376241711
1347351,376241734
1347351,376241768
1347346,376241730
1347346,376241733
1347346,376241766
1347346,376241767
1347346,376241815
1347346,376241816
1347346,376241817
1347346,376241882
1347346,376241561
1347346,376241602
1347346,376241604
1347346,376241627
1347346,376241661
1347346,376241695
1347346,376241702
1347346,376241709
1347346,376241713
1347346,376241718
1347346,376241752
1347346,376241761
1347346,376241786
1347346,376241795
1347346,376241804
1347346,376241838
1347346,376241542
1347346,376241553
1347346,376241571
1347346,376241585
1347346,376241610
1347346,376241617
1347401,376241665
1347401,376241683
1347401,376241765
1347401,376241783
1347401,376241784
1347401,376241798
1347401,376241832
1347401,376241834
1347401,376241848
1347401,376241850
1347401,376241865
1347401,376241867
1347401,376241587
1347401,376241592
1347401,376241621
1347401,376241644
1347401,376241696
1347401,376241701
1347401,376241719
1347401,376241746
1347401,376241760
1347401,376241771
1347401,376241776
1347401,376241803
1347401,376241846
1347401,376241855
1347349,376241736
1347349,376241754
1347349,376241770
1347349,376241843
1347349,376241868
1347349,376241879
1347349,376241613
1347349,376241614
1347349,376241615
1347349,376241616
1347349,376241647
1347349,376241649
1347349,376241650
